Date,Signal,Predicted_Return,Actual_Return,Strategy_Return,Equity
2020-05-28,1,0.0034691749926355066,0.0,0.0,1.0
2020-05-29,1,0.007108462109681854,-0.0009740769835035421,-0.0009740769835035421,0.9990259230164965
2020-06-01,0,0.0001701896817697593,0.012297917846134569,0.0,0.9990259230164965
2020-06-02,0,0.0005838211341656897,0.004629485785303564,0.0,0.9990259230164965
2020-06-03,1,0.003357733955791582,0.005505041133172604,0.005505041133172604,1.004525601815808
2020-06-04,1,0.012961883244551997,-0.008612204724409484,-0.008612204724409484,0.9958744216820595
2020-06-05,1,0.008926262835410096,0.02848101265822787,0.02848101265822787,1.0242379336919916
2020-06-08,1,0.00275118498421003,0.005912518853695262,0.005912518853695262,1.0302937597856154
2020-06-09,1,0.024541063800052918,0.03157800035986334,0.03157800035986334,1.0628283765028905
2020-06-10,0,-0.034588272971688885,0.025727492078257988,0.0,1.0628283765028905
2020-06-11,0,-0.01158326662204356,-0.04801042965650153,-0.0,1.0628283765028905
2020-06-12,1,0.029344827300489425,0.008633521881512457,0.008633521881512457,1.0720043285477208
2020-06-15,1,0.03543386267940153,0.012367178276269179,0.012367178276269179,1.0852619971918025
2020-06-16,1,0.03298198266531092,0.026502230385725457,0.026502230385725457,1.1140238606702522
2020-06-17,1,0.03338701403755898,-0.0013917291524653747,-0.0013917291524653747,1.1124734411868153
2020-06-18,1,0.03552672449288419,0.00039819107483160277,0.00039819107483160277,1.1129164181820832
2020-06-19,1,0.029054157308162458,-0.0057146106388422675,-0.0057146106388422675,1.1065565341785977
2020-06-22,1,0.036874159623457615,0.02616378817339579,0.02616378817339579,1.1355082449407334
2020-06-23,0,-0.0033198961540739113,0.021344776660071802,0.0,1.1355082449407334
2020-06-24,0,-0.003806936527194153,-0.017652033939922984,-0.0,1.1355082449407334
2020-06-25,1,0.007910441711320677,0.013275565183580439,0.013275565183580439,1.1505827586629374
2020-06-26,1,0.004977205868497219,-0.03072579760991114,-0.03072579760991114,1.1152301856868068
2020-06-29,1,0.06115158612219164,0.023046687215451115,0.023046687215451115,1.1409325469495601
